task,region,noise,seed,init_mae,init_in,init_out,p_gate,cx,cy,detect_dist,arm,hp,mae,err_in,err_out,ess
synthetic,hard,gauss,4001,0.13029219520821372,0.3916617939502144,0.09080470187309131,0.035,0.2503111347311084,0.7344319726545048,0.015571136125889758,jtt,"jtt|q=0.1,lam=20",0.13007409672668,0.28288131459537325,0.10698811417097813,0.20562347188264063
synthetic,hard,gauss,4001,0.13029219520821372,0.3916617939502144,0.09080470187309131,0.035,0.2503111347311084,0.7344319726545048,0.015571136125889758,jtt,"jtt|q=0.2,lam=2",0.09910521407069359,0.32190920764986186,0.06544417906952428,0.9
synthetic,hard,gauss,4001,0.13029219520821372,0.3916617939502144,0.09080470187309131,0.035,0.2503111347311084,0.7344319726545048,0.015571136125889758,jtt,"jtt|q=0.2,lam=5",0.10592832352611752,0.30978274729686023,0.07513017317226428,0.5586206896551722
synthetic,hard,gauss,4001,0.13029219520821372,0.3916617939502144,0.09080470187309131,0.035,0.2503111347311084,0.7344319726545048,0.015571136125889758,jtt,"jtt|q=0.2,lam=10",0.11514515261386717,0.307768584186344,0.08604377086550737,0.37692307692307686
synthetic,hard,gauss,4001,0.13029219520821372,0.3916617939502144,0.09080470187309131,0.035,0.2503111347311084,0.7344319726545048,0.015571136125889758,jtt,"jtt|q=0.2,lam=20",0.13213572970975276,0.31005102268653945,0.10525644084275619,0.28514851485148507
synthetic,hard,gauss,4001,0.13029219520821372,0.3916617939502144,0.09080470187309131,0.035,0.2503111347311084,0.7344319726545048,0.015571136125889758,density,density|alpha=0.2,0.10423994518962783,0.33611321282233947,0.0692087320940383,0.9976626608167559
synthetic,hard,gauss,4001,0.13029219520821372,0.3916617939502144,0.09080470187309131,0.035,0.2503111347311084,0.7344319726545048,0.015571136125889758,density,density|alpha=0.5,0.10466510335705115,0.3365378056172383,0.06963397567745455,0.9855687168237929
synthetic,hard,gauss,4001,0.13029219520821372,0.3916617939502144,0.09080470187309131,0.035,0.2503111347311084,0.7344319726545048,0.015571136125889758,density,density|alpha=0.8,0.10401250071018364,0.3333682308015299,0.0693616350129299,0.9638693179511442
synthetic,hard,gauss,4001,0.13029219520821372,0.3916617939502144,0.09080470187309131,0.035,0.2503111347311084,0.7344319726545048,0.015571136125889758,density,density|alpha=1.0,0.10570964734103207,0.335534129035703,0.07098796305622569,0.9446703028768836
synthetic,hard,gauss,4001,0.13029219520821372,0.3916617939502144,0.09080470187309131,0.035,0.2503111347311084,0.7344319726545048,0.015571136125889758,smoothed_loss,smoothed_loss|alpha=0.2,0.10211295098755553,0.323554199931765,0.06865779826936562,0.9747046765123104
synthetic,hard,gauss,4001,0.13029219520821372,0.3916617939502144,0.09080470187309131,0.035,0.2503111347311084,0.7344319726545048,0.015571136125889758,smoothed_loss,smoothed_loss|alpha=0.5,0.10431996254859331,0.3109870726153047,0.07309687397736354,0.8604381097890035
synthetic,hard,gauss,4001,0.13029219520821372,0.3916617939502144,0.09080470187309131,0.035,0.2503111347311084,0.7344319726545048,0.015571136125889758,smoothed_loss,smoothed_loss|alpha=0.8,0.10408582731512862,0.2951215439529915,0.07522431616840115,0.7065996686067725
synthetic,hard,gauss,4001,0.13029219520821372,0.3916617939502144,0.09080470187309131,0.035,0.2503111347311084,0.7344319726545048,0.015571136125889758,smoothed_loss,smoothed_loss|alpha=1.0,0.10567823438416667,0.2972537174679651,0.07673517578877266,0.6065037009960728
synthetic,hard,gauss,4001,0.13029219520821372,0.3916617939502144,0.09080470187309131,0.035,0.2503111347311084,0.7344319726545048,0.015571136125889758,random_centre,"random_centre|alpha=0.2,sigma=0.05",0.10457241840064557,0.34081186158061716,0.06888156727273623,0.42094410186358894
synthetic,hard,gauss,4001,0.13029219520821372,0.3916617939502144,0.09080470187309131,0.035,0.2503111347311084,0.7344319726545048,0.015571136125889758,random_centre,"random_centre|alpha=0.2,sigma=0.1",0.10305530991263016,0.3371316465569391,0.06769125905269863,0.7581056345765762
synthetic,hard,gauss,4001,0.13029219520821372,0.3916617939502144,0.09080470187309131,0.035,0.2503111347311084,0.7344319726545048,0.015571136125889758,random_centre,"random_centre|alpha=0.2,sigma=0.2",0.10241601262287034,0.33462140350368247,0.06733462263368291,0.9272937629298557
synthetic,hard,gauss,4001,0.13029219520821372,0.3916617939502144,0.09080470187309131,0.035,0.2503111347311084,0.7344319726545048,0.015571136125889758,random_centre,"random_centre|alpha=0.5,sigma=0.05",0.10897684270154337,0.34997948148806096,0.07256637209350836,0.10483041239038708
synthetic,hard,gauss,4001,0.13029219520821372,0.3916617939502144,0.09080470187309131,0.035,0.2503111347311084,0.7344319726545048,0.015571136125889758,random_centre,"random_centre|alpha=0.5,sigma=0.1",0.10512038242781432,0.3403339674326287,0.06958451706737476,0.3352527427208891
synthetic,hard,gauss,4001,0.13029219520821372,0.3916617939502144,0.09080470187309131,0.035,0.2503111347311084,0.7344319726545048,0.015571136125889758,random_centre,"random_centre|alpha=0.5,sigma=0.2",0.10100638008851592,0.32521291405676056,0.0671334504961912,0.681832088272806
synthetic,hard,gauss,4001,0.13029219520821372,0.3916617939502144,0.09080470187309131,0.035,0.2503111347311084,0.7344319726545048,0.015571136125889758,random_centre,"random_centre|alpha=0.8,sigma=0.05",0.11447724473921568,0.3559241581484992,0.07799965350471957,0.04379774301811968
synthetic,hard,gauss,4001,0.13029219520821372,0.3916617939502144,0.09080470187309131,0.035,0.2503111347311084,0.7344319726545048,0.015571136125889758,random_centre,"random_centre|alpha=0.8,sigma=0.1",0.10761802557897523,0.3420873159829442,0.07219460760427489,0.1648790793937876
synthetic,hard,gauss,4001,0.13029219520821372,0.3916617939502144,0.09080470187309131,0.035,0.2503111347311084,0.7344319726545048,0.015571136125889758,random_centre,"random_centre|alpha=0.8,sigma=0.2",0.10217922708446947,0.3183371403839195,0.06952227615433675,0.46644863188501173
synthetic,hard,gauss,4001,0.13029219520821372,0.3916617939502144,0.09080470187309131,0.035,0.2503111347311084,0.7344319726545048,0.015571136125889758,random_centre,"random_centre|alpha=1.0,sigma=0.05",1.1117193022060536,0.7705258683641416,1.1632665116354075,0.02848851283972075
synthetic,hard,gauss,4001,0.13029219520821372,0.3916617939502144,0.09080470187309131,0.035,0.2503111347311084,0.7344319726545048,0.015571136125889758,random_centre,"random_centre|alpha=1.0,sigma=0.1",0.855611607827164,0.48622537812492617,0.911418160515991,0.1122463390031289
synthetic,hard,gauss,4001,0.13029219520821372,0.3916617939502144,0.09080470187309131,0.035,0.2503111347311084,0.7344319726545048,0.015571136125889758,random_centre,"random_centre|alpha=1.0,sigma=0.2",0.13673950922637645,0.31036818101265096,0.11050783938816233,0.36349874025659024
