dataset,region,noise,arm,mae,mae_p,err_in,err_in_p,ph
houses,sparse_init,clean,jtt,-5.894281298358749,3.552713678800501e-15,-7.360448794953366,2.8132163265581767e-10,3.907985046680551e-14
houses,sparse_init,clean,rho,0.7442015066427489,0.0021981232450851707,0.7986371015059929,0.2571237847552261,0.013188739470511024
houses,sparse_init,clean,rho_a1,-0.3426185107576662,0.1515030570827971,-2.0663115643500958,0.0362699414949752,0.7575152854139855
houses,sparse_init,clean,ws_default,0.15600856034769578,0.34720687274462314,0.30511184364899296,0.24513084584396871,1.0
houses,sparse_init,clean,ws_tuned,0.131889598404756,0.5148085516941183,0.1567175909871797,0.8707939059443142,1.0
houses,sparse_init,clean,rho_landscape_a1,-0.2582521619276789,0.21148488261323095,-2.2613854651280185,0.008848884696840642,0.8459395304529238
houses,sparse_init,clean,rho_filter_a1,-0.18072386355507594,0.5210251168620434,-1.2399639395056705,0.15430250303892734,1.0
houses,sparse_init,clean,all_data,7.790173392679478,1.7763568394002505e-15,9.118519545908745,1.7763568394002505e-15,2.1316282072803006e-14
houses,sparse_init,outlier,uniform,2.315929124274581,4.8571529021046445e-09,2.5456846405407485,0.0004885945525092694,3.996478348256005e-08
houses,sparse_init,outlier,kcenter,2.075326578723831,1.7394549622906652e-07,2.6691173075226864,0.0021981232450851707,1.2176184736034656e-06
houses,sparse_init,outlier,kcenter_a1,2.5874020873222974,4.440531498062228e-09,3.433802875200559,0.012931948668784443,3.996478348256005e-08
houses,sparse_init,outlier,loss,-9.444293694516743,5.329070518200751e-15,-15.555270529171931,5.861977570020827e-14,5.3290705182007514e-14
houses,sparse_init,outlier,jtt,-21.296089702252388,1.7763568394002505e-15,-34.40675702227158,1.7763568394002505e-15,2.1316282072803006e-14
houses,sparse_init,outlier,rho,1.1195556301386922,0.0015962870115284744,0.5003790979461324,0.2999546071877397,0.009577722069170846
houses,sparse_init,outlier,rho_a1,0.37472663609382856,0.28229295463063053,-1.6741745899535223,0.10525460779046192,1.0
houses,sparse_init,outlier,ws_default,0.30471818013951174,0.35718707191412413,0.8241848528728117,0.3829036913273498,1.0
houses,sparse_init,outlier,ws_tuned,0.17303674286109372,0.7376605378038441,1.9203272787325942,0.020665866669398625,1.0
houses,sparse_init,outlier,rho_landscape_a1,0.8156482028885641,0.064886242135481,-0.7844995396252955,0.44326672141018975,0.324431210677405
houses,sparse_init,outlier,rho_filter_a1,0.010106779016342627,0.7376605378038441,0.19178893800326735,0.8482444441392172,1.0
