dataset,region,noise,seed,n_init,iters_initial,init_mae,init_in,init_out,region_share_R,prec_knn,prec_evtgpr,arm,alpha,top_q,mae,err_in,err_out,n_in_region,error
synth2d,hard,clean,6103,250,400,0.3541874299379276,0.5714675696396772,0.33302571537163916,0.108,0.30038022813688214,0.34220532319391633,ws_region_knn,0.5,0.7,0.16562506777086042,0.45640670590554466,0.13730477105266753,38.0,
synth2d,hard,clean,6103,250,400,0.3541874299379276,0.5714675696396772,0.33302571537163916,0.108,0.30038022813688214,0.34220532319391633,ws_region_knn,0.5,0.85,0.16986484262323162,0.4135927586870034,0.14612728152511398,39.0,
synth2d,hard,clean,6103,250,400,0.3541874299379276,0.5714675696396772,0.33302571537163916,0.108,0.30038022813688214,0.34220532319391633,ws_region_knn,0.5,0.95,0.16987033385569703,0.4145093116539504,0.14604404109345284,46.0,
synth2d,hard,clean,6103,250,400,0.3541874299379276,0.5714675696396772,0.33302571537163916,0.108,0.30038022813688214,0.34220532319391633,ws_region_evtgpr,0.5,0.85,0.16471588123896,0.41554548899826477,0.14028666018146943,45.0,
synth2d,hard,clean,6103,250,400,0.3541874299379276,0.5714675696396772,0.33302571537163916,0.108,0.30038022813688214,0.34220532319391633,ws_region_knn,0.75,0.7,0.1602454402396218,0.41213028189796447,0.13571344605890534,42.0,
synth2d,hard,clean,6103,250,400,0.3541874299379276,0.5714675696396772,0.33302571537163916,0.108,0.30038022813688214,0.34220532319391633,ws_region_knn,0.75,0.85,0.1626757276800808,0.4275688522074906,0.1368768088303605,50.0,
synth2d,hard,clean,6103,250,400,0.3541874299379276,0.5714675696396772,0.33302571537163916,0.108,0.30038022813688214,0.34220532319391633,ws_region_knn,0.75,0.95,0.1645079109238905,0.4144227143591508,0.14016778603513402,44.0,
synth2d,hard,clean,6103,250,400,0.3541874299379276,0.5714675696396772,0.33302571537163916,0.108,0.30038022813688214,0.34220532319391633,ws_region_evtgpr,0.75,0.85,0.16870382534513362,0.418786661843033,0.14434733509636707,56.0,
synth2d,hard,clean,6103,250,400,0.3541874299379276,0.5714675696396772,0.33302571537163916,0.108,0.30038022813688214,0.34220532319391633,ws_region_knn,1.0,0.7,0.16700171992617005,0.45097779326508114,0.13934424227587827,49.0,
synth2d,hard,clean,6103,250,400,0.3541874299379276,0.5714675696396772,0.33302571537163916,0.108,0.30038022813688214,0.34220532319391633,ws_region_knn,1.0,0.85,0.16954250557367562,0.42569921169364594,0.1445944587499199,59.0,
