dataset,region,noise,seed,region_share_R,detector,mae,err_in,secs,prec,error
synth2d,hard,outlier,6201,0.09266666666666666,Anchored GPR (QR prior),0.18468572704909236,0.40795369668143755,3.9916443824768066,0.25663716814159293,
synth2d,hard,outlier,6201,0.09266666666666666,Gated GPR (QR anchor),0.1818601625623669,0.39696620951571515,3.606168746948242,0.05752212389380531,
synth2d,hard,outlier,6201,0.09266666666666666,QR × GPR (geometric),0.18983408523938972,0.39577471007092624,3.4355409145355225,0.1425260718424102,
synth2d,hard,outlier,6201,0.09266666666666666,EVT × GPR (geometric),0.17481749415184258,0.399583001508843,3.5824296474456787,0.21238938053097345,
synth2d,hard,outlier,6201,0.09266666666666666,GPR/kNN (variance-weighted),0.18901570828395142,0.41633577235953245,3.0501019954681396,0.21238938053097345,
synth2d,hard,outlier,6201,0.09266666666666666,GPR/kNN (disagreement-amplified),0.18045600787327504,0.4176366141131504,2.8815531730651855,0.252212389380531,
synth2d,hard,outlier,6201,0.09266666666666666,Local GPR (QR-localised),0.1946946565129824,0.3994300428887511,1.9168007373809814,0.0,
synth2d,hard,outlier,6202,0.11666666666666667,random,0.19192907780840604,0.3724785709516725,,,
synth2d,hard,outlier,6202,0.11666666666666667,"kNN (LOO, default)",0.18527519576950732,0.36044520771832633,0.011492013931274414,0.24,
synth2d,hard,outlier,6202,0.11666666666666667,Gaussian Process Regression,0.1762171844054834,0.38626401935357246,3.122556209564209,0.10619469026548672,
synth2d,hard,outlier,6202,0.11666666666666667,Polynomial Response Surface,0.18362927586891314,0.38099061342020424,0.017822980880737305,0.04424778761061947,
synth2d,hard,outlier,6202,0.11666666666666667,RBF Interpolation,0.18989609759908285,0.36576883138781996,0.05460667610168457,0.12831858407079647,
synth2d,hard,outlier,6202,0.11666666666666667,kNN Performance Mapping,0.18372998515295036,0.39115989920380695,0.02760171890258789,0.2345132743362832,
synth2d,hard,outlier,6202,0.11666666666666667,LOESS Local Regression,0.17593822960354338,0.36555647396929947,0.4351232051849365,0.0752212389380531,
synth2d,hard,outlier,6202,0.11666666666666667,Quantile Regression,0.19832592745461639,0.37872506866223415,0.3126964569091797,0.0,
synth2d,hard,outlier,6202,0.11666666666666667,Peaks over Threshold (EVT),0.19232433921560266,0.38806048024753137,0.01851677894592285,0.3672566371681416,
synth2d,hard,outlier,6202,0.11666666666666667,Bayesian Optimization (EI),0.17606865619639372,0.35779005615148607,3.926406145095825,0.11504424778761062,
synth2d,hard,outlier,6202,0.11666666666666667,kNN + GPR (mean),0.1817472043483947,0.36915067576456023,2.7918331623077393,0.16371681415929204,
synth2d,hard,outlier,6202,0.11666666666666667,kNN + Quantile (mean),0.17194740054076463,0.37278296437143094,0.3771371841430664,0.1504424778761062,
synth2d,hard,outlier,6202,0.11666666666666667,Anchored GPR (QR prior),0.18116878586986046,0.3697610148702686,1.9682350158691406,0.10619469026548672,
synth2d,hard,outlier,6202,0.11666666666666667,Gated GPR (QR anchor),0.1872731128064303,0.3876102985471956,4.154728412628174,0.13274336283185842,
synth2d,hard,outlier,6202,0.11666666666666667,QR × GPR (geometric),0.17283232343990307,0.37198426052753464,3.2631583213806152,0.09734513274336283,
synth2d,hard,outlier,6202,0.11666666666666667,EVT × GPR (geometric),0.1945052352499468,0.3742878222659598,3.339763879776001,0.2743362831858407,
synth2d,hard,outlier,6202,0.11666666666666667,GPR/kNN (variance-weighted),0.1837591910609017,0.37176340216793297,3.118257522583008,0.15486725663716813,
