n_data,iters,amp,freq,seed,region,init_mae,const_mae,ratio,p_gate,dist
500,200,3.0,3.0,3007,hard,0.33101022643539446,0.7792723497816689,1.714925480892764,0.045,0.6444972885632986
500,200,3.0,3.0,3007,none,0.2882979285670673,0.7707080101283507,0.7461660490834405,0.035,0.6434396212457664
500,200,3.0,3.0,3008,hard,0.33777042449354505,0.7791714837066682,1.693151973411111,0.045,0.6686949636948236
500,200,3.0,3.0,3008,none,0.2829499089328615,0.7657192129253845,0.5369113788721019,0.015,0.6680451514199828
500,200,3.0,3.0,3009,hard,0.32398157227724406,0.7622345098638988,1.625643460638127,0.09,0.6153870683257582
500,200,3.0,3.0,3009,none,0.27906668519005096,0.7462644982817396,0.5512339200272794,0.025,0.6011005488003545
500,200,3.0,3.0,3010,hard,0.3585937727008118,0.7786379088475042,1.5976815122745338,0.06,0.6399796768461408
500,200,3.0,3.0,3010,none,0.3158561368941136,0.7573480628688757,0.7539444819911735,0.105,0.6320392162175542
500,200,3.0,3.0,3011,hard,0.34733084535142406,0.772367937140176,1.5701169019823238,0.125,0.06246781132441411
500,200,3.0,3.0,3011,none,0.31070891075220897,0.7566508905754039,0.6783935566924185,0.025,0.5988126236389039
500,200,3.0,3.0,3012,hard,0.33565911175334207,0.76015039487131,1.6265993609422449,0.035,0.4991406562565357
500,200,3.0,3.0,3012,none,0.2853015384915194,0.7455562167555014,0.7597602230694559,0.085,0.505820113107389
500,200,3.0,3.0,3013,hard,0.3324295380575621,0.7683936439271192,1.574728166771165,0.085,0.03745111187442592
500,200,3.0,3.0,3013,none,0.28540747075805295,0.7520350707979753,0.8035102024321629,0.015,0.6291710428386849
500,200,3.0,3.0,3014,hard,0.8366151233818865,0.7890226988944987,1.2667563184569595,0.005,0.2904939341002282
500,200,3.0,3.0,3014,none,0.8249696518452774,0.7690512065012997,1.125466711915387,0.005,0.2845212485201462
500,200,3.0,3.0,3015,hard,0.3269666743729369,0.7759291820315459,1.5225327147351162,0.025,0.6495731624994407
500,200,3.0,3.0,3015,none,0.2959170419664193,0.7646006968767887,0.7146383188154393,0.01,0.6505745624226389
500,200,3.0,3.0,3016,hard,0.3403450110560724,0.775346297132613,1.4544585626787718,0.03,0.6447795834505765
500,200,3.0,3.0,3016,none,0.30371104272222593,0.7571017532882872,0.5909087377505566,0.025,0.648798754165038
500,200,3.0,3.0,3017,hard,0.32676071463895007,0.7621120685861528,1.6861523777301333,0.02,0.009808159185006047
500,200,3.0,3.0,3017,none,0.28524620848267895,0.7454082293155815,0.665853196086518,0.04,0.6546818816207075
500,200,3.0,3.0,3018,hard,0.34104981282154234,0.785021751163439,1.794381855607011,0.005,0.6398327767897038
500,200,3.0,3.0,3018,none,0.297031901837697,0.7722374777125725,0.733799335428388,0.005,0.6355612139968863
500,200,3.0,3.0,3019,hard,0.32619215428570214,0.7657479569900913,1.6813400383793684,0.06,0.6170343878583648
500,200,3.0,3.0,3019,none,0.2849345512701898,0.7498917513414844,0.8395849255398085,0.04,0.6161418187082561
500,200,3.0,5.0,3000,hard,0.8008001308519963,0.7742936980462121,1.1104783515526577,0.005,0.2714154869375016
500,200,3.0,5.0,3000,none,0.7817491117385429,0.754907044528664,0.9755556187563124,0.005,0.30183559550182415
500,200,3.0,5.0,3001,hard,0.3375259459068641,0.7904270258936412,1.7590739374244366,0.06,0.01113411017957497
500,200,3.0,5.0,3001,none,0.2896302406698355,0.768544443377172,0.6025690393815475,0.01,0.629574812295189
500,200,3.0,5.0,3002,hard,0.35058099050699615,0.7867745160283348,1.8503154709977283,0.085,0.647855377243101
500,200,3.0,5.0,3002,none,0.2971921291392292,0.7651874545060636,0.6483501091821999,0.015,0.6457186869750876
500,200,3.0,5.0,3003,hard,0.3553906235154162,0.7639067140064217,1.8207166452715962,0.035,0.042298313596247014
500,200,3.0,5.0,3003,none,0.2776590876166804,0.7435495688576028,0.7757961765318575,0.005,0.6140122918258111
500,200,3.0,5.0,3004,hard,0.3447193013370113,0.7992452319351668,1.9627668627601442,0.15,0.008586963473267458
500,200,3.0,5.0,3004,none,0.29112195223354026,0.7752247221465973,0.7028920489106567,0.01,0.6274252616917524
500,200,3.0,5.0,3005,hard,0.3486498859795548,0.79664421734696,2.0848711480483826,0.02,0.6404635194695215
500,200,3.0,5.0,3005,none,0.29552501739671044,0.7674015762475941,0.7712080333537354,0.005,0.6269010047559292
500,200,3.0,5.0,3006,hard,0.35441907142508067,0.788865471986579,1.9910752789474304,0.135,0.0076849181142157625
500,200,3.0,5.0,3006,none,0.28279032262391074,0.7649647263686042,0.7182918474051251,0.025,0.6406051229059108
500,200,3.0,5.0,3007,hard,0.32876143128079516,0.7861733012583728,1.9305128559550584,0.055,0.03824960654771772
500,200,3.0,5.0,3007,none,0.2882979285670673,0.7707080101283507,0.7461660490834405,0.035,0.6434396212457664
500,200,3.0,5.0,3008,hard,0.3416813287733645,0.781208866364826,1.774971334862097,0.08,0.6729322303010705
500,200,3.0,5.0,3008,none,0.2829499089328615,0.7657192129253845,0.5369113788721019,0.015,0.6680451514199828
