task,region,noise,arm,whole,p,inside,p_in,outside,gate_pass,detect_dist,uni_mae,init_mae,uni_in,init_in,ess,hp,n,family,p_holm,p_in_holm
synthetic,hole,outlier,random_centre,0.17505052978634364,0.30905100446984335,0.5233083607221746,0.21866240175859453,0.02278616285117843,0.0,0.5316664754193341,0.17868600735931703,0.25225800084518646,0.4292018030676483,0.4910208945253004,0.9093391281747959,"random_centre|alpha=0.2,sigma=0.2",50,control,0.30905100446984335,0.21866240175859453
synthetic,hole,outlier,oracle,-1.4585262927071803,5.9166993136017254e-05,-3.031707194582483,0.0004153236253312542,-0.7671157519886497,0.0,0.5316664754193341,0.17868600735931703,0.25225800084518646,0.4292018030676483,0.4910208945253004,0.9238324015407027,"oracle|alpha=0.2,sigma=0.2",50,control,0.00011833398627203451,0.0008306472506625084
synthetic,none,gauss,weakspot,-0.36252985983488994,0.6051405400941228,-5.651899842586381,1.2841054282120012e-06,0.3528894234655253,0.88,0.6293330565015097,0.06019330474742689,0.11070953816778141,0.056864548482862765,0.09490469065802713,0.8958424354645235,"weakspot|alpha=0.2,sigma=0.2",50,signal,0.9248452254503263,7.704632569272007e-06
synthetic,none,gauss,gated,-0.49955209877520945,0.46242261272516316,-5.689299628616906,1.333413479187584e-06,0.19856383521657847,0.88,0.6293330565015097,0.06019330474742689,0.11070953816778141,0.056864548482862765,0.09490469065802713,0.8958424354645235,"weakspot|alpha=0.2,sigma=0.2",50,signal,0.9248452254503263,7.704632569272007e-06
synthetic,none,gauss,loss,1.8091875838523115,1.2288898243895119e-05,0.9744345996366297,0.14874176207376877,1.9279851750062145,0.88,0.6293330565015097,0.06019330474742689,0.11070953816778141,0.056864548482862765,0.09490469065802713,0.963446052380656,loss|alpha=0.2,50,signal,7.373338946337071e-05,0.5949670482950751
synthetic,none,gauss,jtt,1.3412873862194623,0.004043947968749961,1.7124502848615657,0.21148488261323095,1.2968737419538359,0.88,0.6293330565015097,0.06019330474742689,0.11070953816778141,0.056864548482862765,0.09490469065802713,0.9,"jtt|q=0.2,lam=2",50,signal,0.020219739843749807,0.6344546478396929
synthetic,none,gauss,density,1.159155437490978,0.00594215911497642,-0.9804445588378474,0.39349457563481494,1.44935717162209,0.88,0.6293330565015097,0.06019330474742689,0.11070953816778141,0.056864548482862765,0.09490469065802713,0.9619008772586125,density|alpha=0.8,50,signal,0.02376863645990568,0.7869891512696299
synthetic,none,gauss,smoothed_loss,1.1363913034234219,0.011529687649083797,-0.5977516198034938,0.9466061989829431,1.3680935366004172,0.88,0.6293330565015097,0.06019330474742689,0.11070953816778141,0.056864548482862765,0.09490469065802713,0.9837542988477372,smoothed_loss|alpha=0.2,50,signal,0.03458906294725139,0.9466061989829431
synthetic,none,gauss,random_centre,0.017667123750413304,0.8557483168795788,-0.9243244759583396,0.6390094850461736,0.14787122084995805,0.88,0.6293330565015097,0.06019330474742689,0.11070953816778141,0.056864548482862765,0.09490469065802713,0.9109833271910078,"random_centre|alpha=0.2,sigma=0.2",50,control,0.8557483168795788,0.6390094850461736
synthetic,none,gauss,oracle,-0.6331710225239886,0.2954728324166016,9.698920445966356,6.590283874174929e-13,-2.034374516078297,0.88,0.6293330565015097,0.06019330474742689,0.11070953816778141,0.056864548482862765,0.09490469065802713,0.931328632166763,"oracle|alpha=0.2,sigma=0.2",50,control,0.5909456648332032,1.3180567748349858e-12
synthetic,none,hetero,weakspot,-4.2856406583782825,5.802245794939154e-09,-9.36761025248099,4.880519277605799e-07,-3.7366555487089563,0.2,0.7030028844270022,0.07591836083673194,0.12699157256854848,0.06019299021681626,0.10242213167247977,0.9268868075919117,"weakspot|alpha=0.2,sigma=0.2",50,signal,2.901122897469577e-08,2.9283115665634796e-06
synthetic,none,hetero,gated,-0.9149033909700529,0.01953125,-1.4902302769817193,0.064453125,-0.8510458495470499,0.2,0.7030028844270022,0.07591836083673194,0.12699157256854848,0.06019299021681626,0.10242213167247977,0.9268868075919117,"weakspot|alpha=0.2,sigma=0.2",50,signal,0.01953125,0.13475117538236958
synthetic,none,hetero,loss,-5.763111107699472,2.3344064459251967e-09,-5.427707800577282,0.001282241835095732,-5.803443852650377,0.2,0.7030028844270022,0.07591836083673194,0.12699157256854848,0.06019299021681626,0.10242213167247977,0.9416887433568729,loss|alpha=0.2,50,signal,1.400643867555118e-08,0.00641120917547866
synthetic,none,hetero,jtt,-3.4118175993454334,1.1326234101716182e-06,-4.425257584014211,0.033687793845592395,-3.3056956217406226,0.2,0.7030028844270022,0.07591836083673194,0.12699157256854848,0.06019299021681626,0.10242213167247977,0.9,"jtt|q=0.2,lam=2",50,signal,4.530493640686473e-06,0.13475117538236958
synthetic,none,hetero,density,0.758125497345711,0.0036632546526647047,-0.41248150700303315,0.40970358186013023,0.8808682805759801,0.2,0.7030028844270022,0.07591836083673194,0.12699157256854848,0.06019299021681626,0.10242213167247977,0.9619008772586125,density|alpha=0.8,50,signal,0.0073265093053294095,0.40970358186013023
synthetic,none,hetero,smoothed_loss,-1.5342128290024473,0.0010251160635235124,-3.1034647322509956,0.033687793845592395,-1.3659110811917383,0.2,0.7030028844270022,0.07591836083673194,0.12699157256854848,0.06019299021681626,0.10242213167247977,0.9723490329570769,smoothed_loss|alpha=0.2,50,signal,0.003075348190570537,0.13475117538236958
synthetic,none,hetero,random_centre,-0.8195788573229337,0.002614123910062105,-0.739147854290954,0.13549845162767582,-0.8316462133380482,0.2,0.7030028844270022,0.07591836083673194,0.12699157256854848,0.06019299021681626,0.10242213167247977,0.9109833271910078,"random_centre|alpha=0.2,sigma=0.2",50,control,0.00522824782012421,0.13549845162767582
synthetic,none,hetero,oracle,0.17710947293718202,0.559104623193516,10.743527616356559,5.310079487230723e-09,-0.9980135896312605,0.2,0.7030028844270022,0.07591836083673194,0.12699157256854848,0.06019299021681626,0.10242213167247977,0.931328632166763,"oracle|alpha=0.2,sigma=0.2",50,control,0.559104623193516,1.0620158974461447e-08
synthetic,none,outlier,weakspot,0.2133013101395962,0.645875956795086,-2.5320211634412564,0.02898427633581413,0.5607858092127449,0.06,0.6094783954151597,0.1488420918810753,0.23270866859687048,0.13407019843858797,0.1899812177857054,0.8860707761371966,"weakspot|alpha=0.2,sigma=0.2",50,signal,1.0,0.08695282900744239
synthetic,none,outlier,gated,0.04439721226638712,1.0,-0.057488916540013195,1.0,0.05541044132974569,0.06,0.6094783954151597,0.1488420918810753,0.23270866859687048,0.13407019843858797,0.1899812177857054,0.8860707761371966,"weakspot|alpha=0.2,sigma=0.2",50,signal,1.0,1.0
synthetic,none,outlier,loss,-53.663296540369146,1.7763568394002505e-15,-54.55822707440336,1.7763568394002505e-15,-53.53669361903682,0.06,0.6094783954151597,0.1488420918810753,0.23270866859687048,0.13407019843858797,0.1899812177857054,0.910065804578398,loss|alpha=0.2,50,signal,1.0658141036401503e-14,1.0658141036401503e-14
synthetic,none,outlier,jtt,-17.41326751849911,1.7763568394002505e-15,-22.691805401138083,3.552713678800501e-15,-16.733506807404737,0.06,0.6094783954151597,0.1488420918810753,0.23270866859687048,0.13407019843858797,0.1899812177857054,0.9,"jtt|q=0.2,lam=2",50,signal,1.0658141036401503e-14,1.7763568394002505e-14
synthetic,none,outlier,density,1.3203737572483534,0.007609452352863144,0.9212475582520835,0.5148085516941183,1.3611505463335658,0.06,0.6094783954151597,0.1488420918810753,0.23270866859687048,0.13407019843858797,0.1899812177857054,0.9619008772586125,density|alpha=0.8,50,signal,0.022828357058589432,1.0
synthetic,none,outlier,smoothed_loss,-2.726259720194893,3.094002387626915e-08,-4.063732807544994,0.000367116559868208,-2.5559743242081505,0.06,0.6094783954151597,0.1488420918810753,0.23270866859687048,0.13407019843858797,0.1899812177857054,0.9799267576097634,smoothed_loss|alpha=0.2,50,signal,1.237600955050766e-07,0.001468466239472832
synthetic,none,outlier,random_centre,0.07149534935521845,0.5918179227766114,-0.030447589312595637,0.7232586770768918,0.08333174947704454,0.06,0.6094783954151597,0.1488420918810753,0.23270866859687048,0.13407019843858797,0.1899812177857054,0.9109833271910078,"random_centre|alpha=0.2,sigma=0.2",50,control,0.5918179227766114,0.7232586770768918
synthetic,none,outlier,oracle,-0.8896010967105639,0.12316903051698347,7.117181245168997,5.802245794939154e-09,-1.9124962751543269,0.06,0.6094783954151597,0.1488420918810753,0.23270866859687048,0.13407019843858797,0.1899812177857054,0.931328632166763,"oracle|alpha=0.2,sigma=0.2",50,control,0.24633806103396694,1.1604491589878307e-08
